desa  ,longitude,latitude,luas_sawah_ha,kec,c,clat,clong
Genengan,112.603416,-8.050861,94.5,Pakisaji,2,-8.076277541865924,60.962571606312025
Kebonagung,112.610983,-8.036082,219.0,Pakisaji,1,-8.145971173121303,279.00798459819464
Kendalpayak,112.622842,-8.050669000000001,192.1,Pakisaji,0,-8.077813741918447,155.9316129943443
Sumbersuko,112.527679,-8.004881,75.1,Wagir,2,-8.076277541865924,60.962571606312025
Mendalanwangi,112.599019,-8.032026,147.6,Wagir,0,-8.077813741918447,155.9316129943443
Sitirejo,112.60648,-8.0226,160.0,Wagir,0,-8.077813741918447,155.9316129943443
Parangargo,112.59306,-8.016959,148.0,Wagir,0,-8.077813741918447,155.9316129943443
Gondowangi,112.581051,-8.017678,137.0,Wagir,0,-8.077813741918447,155.9316129943443
Pandanrejo,112.56323799999998,-8.008498,125.0,Wagir,0,-8.077813741918447,155.9316129943443
Petungsewu,112.539496,-7.999377000000001,105.0,Wagir,2,-8.076277541865924,60.962571606312025
Sukodadi,112.551444,-7.993639,24.1,Wagir,2,-8.076277541865924,60.962571606312025
Sidorahayu,112.593097,-8.001429,115.0,Wagir,0,-8.077813741918447,155.9316129943443
Jedong,112.569201,-7.987699,70.0,Wagir,2,-8.076277541865924,60.962571606312025
Dalisodo,112.539422,-7.9791940000000015,1.0,Wagir,2,-8.076277541865924,60.962571606312025
Pandanlandung,112.581097,-7.976917999999999,20.0,Wagir,2,-8.076277541865924,60.962571606312025
Ngajum,112.539118,-8.090872000000001,546.0,Ngajum,0,-8.077813741918447,155.9316129943443
Palaan,112.546873,-8.112574,105.0,Ngajum,2,-8.076277541865924,60.962571606312025
Ngasem,112.551315,-8.090515,285.0,Ngajum,1,-8.145971173121303,279.00798459819464
Banjarsari,112.56331000000002,-8.089733,161.0,Ngajum,0,-8.077813741918447,155.9316129943443
Kranggan,112.563333,-8.074583,177.0,Ngajum,0,-8.077813741918447,155.9316129943443
Kesamben,112.56921,-8.064084,151.0,Ngajum,0,-8.077813741918447,155.9316129943443
Babadan,112.542359,-8.03203,99.0,Ngajum,2,-8.076277541865924,60.962571606312025
Balesari,112.506544,-8.02399,48.0,Ngajum,2,-8.076277541865924,60.962571606312025
Maguan,112.528898,-8.057269999999999,103.0,Ngajum,2,-8.076277541865924,60.962571606312025
Bangelan,112.482425,-8.073076,80.0,Wonosari,2,-8.076277541865924,60.962571606312025
Kluwut,112.503975,-8.112673,227.0,Wonosari,1,-8.145971173121303,279.00798459819464
